epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1189.2,1.80065,1.89299,1.64522,0.66758,0.41023,0.47192,0.25338,1.85448,1.60664,1.44678,0.00333136,0.00333136,0.00333136
2,2444.26,1.77649,1.66741,1.58522,0.53162,0.37812,0.4042,0.17994,2.03481,1.8359,1.64606,0.00659871,0.00659871,0.00659871
3,3551.72,1.88479,1.88623,1.69232,0.50599,0.40963,0.39967,0.19059,2.03143,1.94621,1.65375,0.00980006,0.00980006,0.00980006
4,4726.64,1.89732,1.92474,1.72406,0.58883,0.46373,0.49504,0.26465,1.7947,1.59967,1.48398,0.009703,0.009703,0.009703
5,5845.53,1.80505,1.74314,1.65983,0.664,0.46314,0.52456,0.29134,1.7459,1.51751,1.45426,0.009604,0.009604,0.009604
6,7014.58,1.74696,1.64325,1.62628,0.6882,0.52794,0.58429,0.32486,1.71286,1.40076,1.42987,0.009505,0.009505,0.009505
7,8175.96,1.70035,1.55458,1.59768,0.76041,0.53448,0.6178,0.3594,1.64712,1.30633,1.38782,0.009406,0.009406,0.009406
8,9318.92,1.67387,1.5062,1.57306,0.76683,0.57679,0.65964,0.3937,1.55106,1.17547,1.33884,0.009307,0.009307,0.009307
9,10438.9,1.6416,1.44809,1.54754,0.74021,0.57935,0.66351,0.38289,1.60643,1.18132,1.36902,0.009208,0.009208,0.009208
10,11548,1.62122,1.40643,1.53142,0.80225,0.56198,0.66659,0.39732,1.55219,1.18026,1.33969,0.009109,0.009109,0.009109
11,12663.3,1.60342,1.37682,1.51798,0.78516,0.56837,0.67342,0.41853,1.47986,1.10837,1.29375,0.00901,0.00901,0.00901
12,13950.1,1.57816,1.34383,1.50182,0.80387,0.58799,0.70278,0.43581,1.48817,1.0681,1.28802,0.008911,0.008911,0.008911
13,15420.8,1.55903,1.31128,1.49082,0.84105,0.5874,0.71181,0.44761,1.46053,1.04365,1.27733,0.008812,0.008812,0.008812
14,16896.6,1.54591,1.27953,1.47431,0.82916,0.5981,0.71482,0.45536,1.4479,1.0248,1.25967,0.008713,0.008713,0.008713
15,18318.5,1.52994,1.25616,1.46446,0.80342,0.6172,0.72861,0.46608,1.42116,0.9821,1.24291,0.008614,0.008614,0.008614
16,19653.5,1.52145,1.23305,1.45883,0.80023,0.6522,0.74402,0.4809,1.40812,0.94123,1.24128,0.008515,0.008515,0.008515
17,20968,1.50916,1.20654,1.45117,0.80688,0.6558,0.7555,0.48548,1.38835,0.9152,1.22104,0.008416,0.008416,0.008416
18,22266.7,1.49954,1.18732,1.44117,0.82666,0.6409,0.75355,0.49023,1.36675,0.92161,1.20563,0.008317,0.008317,0.008317
19,23530.3,1.48371,1.16482,1.43018,0.82584,0.65874,0.75794,0.49645,1.35793,0.8961,1.20303,0.008218,0.008218,0.008218
20,24793.2,1.47569,1.15576,1.42642,0.82843,0.67717,0.77071,0.50756,1.35377,0.86619,1.19172,0.008119,0.008119,0.008119
21,26074.6,1.46017,1.13355,1.41233,0.84393,0.65584,0.76809,0.51078,1.33622,0.87757,1.18536,0.00802,0.00802,0.00802
22,27337.2,1.44656,1.117,1.40568,0.84507,0.65339,0.76603,0.51395,1.32393,0.85803,1.1721,0.007921,0.007921,0.007921
23,28578.2,1.4378,1.10354,1.40207,0.85458,0.66382,0.77304,0.51722,1.32363,0.84928,1.17444,0.007822,0.007822,0.007822
24,29817.8,1.43081,1.08417,1.39304,0.85752,0.67004,0.77822,0.52427,1.31212,0.82769,1.1619,0.007723,0.007723,0.007723
25,31048.9,1.41445,1.06729,1.38614,0.84521,0.67836,0.78147,0.52808,1.31389,0.82371,1.16049,0.007624,0.007624,0.007624
26,32292.9,1.40765,1.05628,1.37536,0.85586,0.67241,0.78499,0.53233,1.30579,0.8153,1.15594,0.007525,0.007525,0.007525
27,33562,1.3943,1.03918,1.36799,0.84453,0.675,0.78526,0.5343,1.29936,0.81708,1.14957,0.007426,0.007426,0.007426
28,34802.9,1.38677,1.02657,1.36527,0.84093,0.68516,0.78944,0.53769,1.28706,0.81103,1.14435,0.007327,0.007327,0.007327
29,36027.5,1.37916,1.01764,1.3577,0.86202,0.67227,0.78991,0.54249,1.28083,0.79721,1.13867,0.007228,0.007228,0.007228
30,37253.7,1.3767,1.00872,1.35542,0.86398,0.67217,0.78938,0.54243,1.28007,0.79418,1.13872,0.007129,0.007129,0.007129
31,38476.6,1.36314,0.98822,1.34319,0.87113,0.67836,0.7929,0.54604,1.2723,0.78782,1.1333,0.00703,0.00703,0.00703
32,39704.3,1.35208,0.97671,1.3402,0.8623,0.68847,0.79292,0.548,1.27221,0.78053,1.13197,0.006931,0.006931,0.006931
33,40930.6,1.34546,0.96484,1.33766,0.85426,0.69322,0.79825,0.55041,1.26633,0.77899,1.12863,0.006832,0.006832,0.006832
34,42156.6,1.33508,0.95537,1.32994,0.85956,0.69798,0.79998,0.553,1.26264,0.77738,1.12494,0.006733,0.006733,0.006733
35,43380.3,1.31633,0.9304,1.31759,0.86055,0.69084,0.79895,0.55454,1.25931,0.77518,1.12176,0.006634,0.006634,0.006634
36,44617.7,1.3222,0.92772,1.31424,0.87163,0.69144,0.80111,0.55619,1.25289,0.76564,1.11735,0.006535,0.006535,0.006535
37,45844.8,1.30417,0.91386,1.30197,0.87307,0.6956,0.80263,0.55843,1.24949,0.76011,1.11449,0.006436,0.006436,0.006436
38,47055.9,1.30044,0.90675,1.30296,0.87827,0.6949,0.80245,0.55977,1.24384,0.75573,1.112,0.006337,0.006337,0.006337
39,48266,1.28444,0.88787,1.29501,0.87556,0.70036,0.80325,0.56107,1.23917,0.75364,1.10947,0.006238,0.006238,0.006238
40,49481.4,1.28085,0.88602,1.29255,0.86957,0.70571,0.80487,0.56086,1.23464,0.74994,1.10622,0.006139,0.006139,0.006139
41,50695.5,1.27671,0.87491,1.29028,0.86694,0.70502,0.8041,0.56287,1.23407,0.74674,1.10576,0.00604,0.00604,0.00604
42,51913,1.26302,0.86175,1.27692,0.87051,0.70273,0.80352,0.56363,1.23053,0.74291,1.10369,0.005941,0.005941,0.005941
